9675;2011;Jun;15;20:13:43;67;141;130;T+;0.0897;2.6868;1.6999;336.1;219.3;100.2;23S;57E
9676;2011;Dec;10;14:32:56;68;147;135;T;-0.3882;2.186;1.1061;356.4;212.2;51.1;23N;140E
9677;2012;Jun;4;11:04:20;68;153;140;P;0.8247;1.3183;0.3704;270;126.6;-;22S;166W
9678;2012;Nov;28;14:34:07;68;159;145;N;-1.0869;0.9155;-0.1873;276;-;-;20N;139E
9679;2013;Apr;25;20:08:38;68;164;112;P;-1.0121;0.9866;0.0148;247.7;27;-;14S;57E
9680;2013;May;25;04:11:06;68;165;150;Nb;1.535;0.0157;-0.9335;33.6;-;-;19S;63W
9681;2013;Oct;18;23:51:25;68;170;117;N;1.1508;0.7649;-0.2718;239.1;-;-;11N;2W
9682;2014;Apr;15;07:46:48;69;176;122;T;-0.3017;2.3182;1.2907;343.9;214.7;77.8;10S;116W
9683;2014;Oct;8;10:55:44;69;182;127;T;0.3826;2.1456;1.1659;318.1;199.5;58.8;6N;167W
9684;2015;Apr;4;12:01:24;69;188;132;T;0.446;2.0792;1.0008;357.5;209;4.7;5S;179W
9685;2015;Sep;28;02:48:17;69;194;137;T;-0.3296;2.2296;1.2764;310.7;199.9;71.9;2N;44W
9686;2016;Mar;23;11:48:21;70;200;142;N;1.1591;0.7747;-0.3118;255.4;-;-;0S;175W
9687;2016;Sep;16;18:55:27;70;206;147;N;-1.0548;0.908;-0.0635;239.3;-;-;3S;75E
9688;2017;Feb;11;00:45:03;70;211;114;N;-1.0254;0.9884;-0.0354;259.2;-;-;13N;8W
9689;2017;Aug;7;18:21:38;70;217;119;P;0.8668;1.2886;0.2464;300.9;115.2;-;15S;86E
9690;2018;Jan;31;13:31:00;71;223;124;T;-0.3014;2.2941;1.3155;317.2;202.7;76.1;17N;161E
9691;2018;Jul;27;20:22:54;71;229;129;T+;0.1168;2.6792;1.6087;373.8;234.5;103;19S;56E
9692;2019;Jan;21;05:13:27;71;235;134;T;0.3684;2.1684;1.1953;311.5;196.8;62;20N;75W
9693;2019;Jul;16;21:31:55;71;241;139;P;-0.643;1.7037;0.6531;333.7;177.9;-;22S;39E
9694;2020;Jan;10;19:11:11;72;247;144;N;1.0726;0.8956;-0.116;244.6;-;-;23N;74E
9695;2020;Jun;5;19:26:14;72;252;111;N;1.2406;0.5683;-0.4053;198.2;-;-;21S;69E
9696;2020;Jul;5;04:31:12;72;253;149;N;-1.3638;0.3546;-0.6436;165;-;-;24S;66W
9697;2020;Nov;30;09:44:01;72;258;116;N;-1.1309;0.8285;-0.262;261;-;-;21N;148W
9698;2021;May;26;11:19:53;72;264;121;T;0.4774;1.954;1.0095;302;187.4;14.5;21S;170W
9699;2021;Nov;19;09:04:06;73;270;126;P;-0.4552;2.072;0.9742;361.5;208.4;-;19N;139W
9700;2022;May;16;04:12:42;73;276;131;T-;-0.2532;2.3726;1.4137;318.7;207.2;84.9;19S;64W
9701;2022;Nov;8;11:00:22;73;282;136;T+;0.257;2.4143;1.3589;353.9;219.8;85;17N;169W
9702;2023;May;5;17:24:05;73;288;141;N;-1.0349;0.9636;-0.0457;257.5;-;-;17S;98E
9703;2023;Oct;28;20:15:18;74;294;146;P;0.9471;1.1181;0.122;264.6;77.4;-;14N;52E
9704;2024;Mar;25;07:13:59;74;299;113;N;1.0609;0.9557;-0.1325;279.1;-;-;1S;106W
9705;2024;Sep;18;02:45:25;74;305;118;P;-0.9792;1.0372;0.0848;246.3;62.8;-;3S;42W
9706;2025;Mar;14;06:59:56;75;311;123;T;0.3484;2.2595;1.1784;362.6;218.3;65.4;3N;102W
9707;2025;Sep;7;18:12:58;75;317;128;T;-0.2752;2.344;1.3619;326.7;209.4;82.1;6S;87E
9708;2026;Mar;3;11:34:52;75;323;133;T;-0.3765;2.1838;1.1507;338.6;207.2;58.3;6N;171W
9709;2026;Aug;28;04:14:04;75;329;138;P;0.4964;1.9645;0.9299;337.8;198.1;-;9S;63W
9710;2027;Feb;20;23:14:06;76;335;143;N;-1.048;0.9266;-0.0569;241;-;-;10N;15E
9711;2027;Jul;18;16:04:09;76;340;110;Ne;-1.5758;0.0014;-1.068;11.8;-;-;22S;121E
9712;2027;Aug;17;07:14:59;76;341;148;N;1.2797;0.5456;-0.5254;218.6;-;-;12S;108W
9713;2028;Jan;12;04:14:13;76;346;115;P;0.9817;1.0468;0.0662;250.7;56;-;23N;61W
9714;2028;Jul;6;18:20:57;77;352;120;P;-0.7903;1.4266;0.3892;310.6;141.5;-;23S;86E
9715;2028;Dec;31;16:53:15;77;358;125;T;0.3258;2.2742;1.2463;336.2;208.8;71.3;23N;108E
9716;2029;Jun;26;03:23:22;77;364;130;T+;0.0124;2.8266;1.8436;335.1;219.5;101.9;23S;50W
9717;2029;Dec;20;22:43:12;78;370;135;T;-0.3811;2.2008;1.1174;358;213.3;53.7;23N;19E
9718;2030;Jun;15;18:34:34;78;376;140;P;0.7534;1.448;0.5025;278.2;144.4;-;23S;82E
9719;2030;Dec;9;22:28:51;78;382;145;N;-1.0731;0.9416;-0.1628;279.2;-;-;22N;21E
9720;2031;May;7;03:52:02;78;387;112;N;-1.0694;0.8814;-0.0904;237.3;-;-;18S;59W
9721;2031;Jun;5;11:45:17;78;388;150;N;1.4731;0.1292;-0.8199;95.6;-;-;21S;176W
9722;2031;Oct;30;07:46:45;79;393;117;N;1.1773;0.7161;-0.3204;231.8;-;-;15N;121W
9723;2032;Apr;25;15:14:51;79;399;122;T;-0.3558;2.2192;1.1913;342.4;211.2;65.5;14S;131E
9724;2032;Oct;18;19:03:40;79;405;127;T;0.4169;2.083;1.1028;315.4;195.9;47.1;10N;71E
9725;2033;Apr;14;19:13:51;80;411;132;T;0.3954;2.1711;1.0944;361.2;215;49.2;9S;72E
9726;2033;Oct;8;10:56:23;80;417;137;T;-0.2889;2.3057;1.3497;312.6;202.4;78.8;6N;167W
9727;2034;Apr;3;19:06:59;80;423;142;N;1.1144;0.8545;-0.2274;265.4;-;-;5S;75E
9728;2034;Sep;28;02:47:37;81;429;147;P;-1.011;0.9911;0.0144;248.7;26.7;-;1N;44W
9729;2035;Feb;22;09:06:12;81;434;114;N;-1.0367;0.9652;-0.0535;255.7;-;-;9N;133W
9730;2035;Aug;19;01:12:15;81;440;119;P;0.9433;1.1507;0.1037;289.8;76.5;-;12S;17W
9731;2036;Feb;11;22:13:06;82;446;124;T;-0.311;2.2751;1.2995;316.1;201.9;74.5;14N;31E
9732;2036;Aug;7;02:52:32;82;452;129;T+;0.2004;2.5266;1.4544;372.1;231.3;95.3;16S;41W
9733;2037;Jan;31;14:01:38;82;458;134;T;0.3619;2.1803;1.2074;312.1;197.5;63.7;18N;153E
9734;2037;Jul;27;04:09:53;83;464;139;P;-0.5582;1.8584;0.8095;340.8;192.4;-;20S;60W
9735;2038;Jan;21;03:49:52;83;470;144;N;1.071;0.8996;-0.114;245.8;-;-;21N;54W
9736;2038;Jun;17;02:45:02;83;475;111;N;1.3082;0.4422;-0.5275;176.3;-;-;22S;41W
9737;2038;Jul;16;11:35:56;84;476;149;N;-1.2837;0.4999;-0.4952;192.4;-;-;23S;172W
9738;2038;Dec;11;17:45:00;84;481;116;N;-1.1448;0.8046;-0.2892;258.5;-;-;22N;93E
9739;2039;Jun;6;18:54:25;84;487;121;P;0.546;1.8272;0.8846;296.7;179.3;-;22S;77E
9740;2039;Nov;30;16:56:28;85;493;126;P;-0.4721;2.0418;0.9426;360.1;206;-;21N;104E
9741;2040;May;26;11:46:22;85;499;131;T-;-0.1872;2.4938;1.5348;321.4;210.7;92.2;21S;177W
9742;2040;Nov;18;19:04:40;85;505;136;T+;0.2361;2.4525;1.3974;353.6;220.4;87.8;20N;70E
9743;2041;May;16;00:43:03;86;511;141;P;-0.9746;1.0747;0.0645;269.7;58.5;-;20S;12W
9744;2041;Nov;8;04:35:05;86;517;146;P;0.9212;1.1656;0.1696;268;90.3;-;18N;73W
9745;2042;Apr;5;14:30:11;86;522;113;N;1.108;0.868;-0.2176;268.4;-;-;5S;144E
9746;2042;Sep;29;10:45:47;87;528;118;N;-1.0261;0.9528;-0.0031;238.5;-;-;2N;163W
9747;2043;Mar;25;14:32:04;87;534;123;T;0.3849;2.19;1.1142;359.3;214.6;53.4;2S;144E
9748;2043;Sep;19;01:51:50;88;540;128;T;-0.3316;2.2433;1.2556;325.8;206;71.7;2S;29W
9749;2044;Mar;13;19:38:33;88;546;133;T;-0.3496;2.2303;1.2031;338.4;209.1;66.4;2N;68E
9750;2044;Sep;7;11:20:44;88;552;138;T;0.4318;2.086;1.0456;344;206.2;33.9;5S;171W
9751;2045;Mar;3;07:43:26;89;558;143;N;-1.0274;0.9623;-0.0168;243.9;-;-;6N;113W
9752;2045;Aug;27;13:54:50;89;564;148;N;1.206;0.6825;-0.3919;241.7;-;-;9S;152E
9753;2046;Jan;22;13:02:37;90;569;115;P;0.9885;1.0347;0.0532;250;50.4;-;21N;168E
9754;2046;Jul;18;01:06:05;90;575;120;P;-0.8691;1.2807;0.2461;298.1;114.6;-;22S;14W
9755;2047;Jan;12;01:26:14;90;581;125;T;0.3317;2.2649;1.2341;337.2;208.9;70;22N;19W
9756;2047;Jul;7;10:35:45;91;587;130;T-;-0.0636;2.731;1.7513;333.4;218.5;100.8;23S;157W
9757;2048;Jan;1;06:53:55;91;593;135;T;-0.3745;2.2141;1.128;359.4;214.3;55.9;23N;102W
9758;2048;Jun;26;02:02:28;92;599;140;P;0.6796;1.5825;0.6388;285.7;159.2;-;23S;30W
9759;2048;Dec;20;06:27:48;92;605;145;N;-1.0624;0.9617;-0.1436;281.6;-;-;22N;97W
9760;2049;May;17;11:26:39;92;610;112;N;-1.1337;0.7638;-0.2085;224.3;-;-;21S;172W
9761;2049;Jun;15;19:14:12;92;611;150;N;1.4068;0.2511;-0.6985;132;-;-;22S;72E
9762;2049;Nov;9;15:52:11;93;616;117;N;1.1964;0.6808;-0.3553;226.1;-;-;18N;118E
9763;2050;May;6;22:32:02;94;622;122;T;-0.4181;2.1052;1.0767;340;206;43.2;17S;21E
9764;2050;Oct;30;03:21:47;95;628;127;T;0.4435;2.0345;1.0538;313.1;192.9;34.5;14N;54W
